PermitClass,PermitTypeDesc,HousingUnits,HousingUnitsRemoved,HousingUnitsAdded,EstProjectCost,StatusCurrent,OriginalAddress1,OriginalCity,OriginalZip
Commercial,Demolition,,,,"4,250,000",Issued,9201 DELRIDGE WAY SW,SEATTLE,98106
Multifamily,New,1,1,4,"900,492",Reviews In Process,6211 12TH AVE NE,SEATTLE,98115
Institutional,Addition/Alteration,,,,"13,706,501",Reviews In Process,7201 BEACON AVE S,SEATTLE,98108
Commercial,New,,,,"120,988,030",Reviews In Process,824 howell ST,,
Multifamily,New,,,,"1,451,433",Reviews In Process,1242 15TH AVE E,SEATTLE,98112
Single Family/Duplex,Demolition,,,,"715,000",Awaiting Information,911 NE 70TH ST,,
Single Family/Duplex,Addition/Alteration,1,0,0,"65,000",Application Completed,2810 CASCADIA AVE S,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,1,0,1,"40,000",Corrections Required,7721 DIBBLE AVE NW,SEATTLE,98117
Single Family/Duplex,New,1,1,1,"2,254,619",Reviews In Process,6333 NE WINDERMERE RD,SEATTLE,98105
Multifamily,New,3,3,45,"3,688,653",Reviews In Process,818 NE 42ND ST,SEATTLE,98105
Commercial,Addition/Alteration,0,0,0,"175,000",Reviews In Process,2301 E UNION ST,SEATTLE,98122
Single Family/Duplex,New,,,,"613,896",Reviews In Process,2320 EYRES PL W,SEATTLE,98199
Commercial,New,,,,"47,881,632",Reviews In Process,401 Queen Anne AVE N,,
Multifamily,Demolition,1,1,5,"2,000,000",Issued,8332 13th AVE NW,,
Commercial,Addition/Alteration,,,,"750,000",Reviews In Process,810 Pike ST,,
Multifamily,New,,,,"13,553,406",Reviews In Process,943 NW MARKET ST,SEATTLE,98107
Single Family/Duplex,New,,,,"439,254",Reviews In Process,1620 sunset AVE SW,,
Commercial,New,,,,"550,000",Reviews In Process,570 MERCER ST,SEATTLE,98109
Single Family/Duplex,Demolition,,,,0,Corrections Required,939 NW MARKET ST,SEATTLE,98107
Multifamily,New,0,0,150,"105,289,117",Reviews In Process,815 WESTERN AVE,SEATTLE,98104
Multifamily,New,1,1,10,"561,047",Reviews In Process,6056 41ST AVE SW,SEATTLE,98136
Multifamily,New,0,0,155,"18,583,807",Reviews In Process,8730 GREENWOOD AVE N,SEATTLE,98103
Industrial,New,0,0,0,"410,000",Reviews In Process,4228 24TH AVE W,SEATTLE,98199
Multifamily,,,,,"5,000,000",Reviews In Process,12328 33RD AVE NE,SEATTLE,98125
Single Family/Duplex,New,,,,"378,287",Reviews In Process,4608 S FONTANELLE ST,SEATTLE,98118
Commercial,New,,,,"25,283,623",Reviews In Process,101 W ROY ST,SEATTLE,98119
Single Family/Duplex,New,,,,"311,559",Reviews In Process,8821 10TH AVE S,SEATTLE,98108
Single Family/Duplex,New,1,1,3,"258,476",Reviews In Process,4037 44TH AVE SW,SEATTLE,98116
Single Family/Duplex,Demolition,1,1,7,"1,902,179",Issued,6035 42ND AVE SW,SEATTLE,98136
Multifamily,Addition/Alteration,0,0,450,"365,000",Reviews In Process,900 RAINIER AVE S,SEATTLE,98144
Multifamily,New,,,,"3,082,043",Reviews In Process,3320 CLAREMONT AVE S,SEATTLE,98144
Single Family/Duplex,New,,,,"552,498",Reviews In Process,5528 29TH AVE NE,SEATTLE,98105
Single Family/Duplex,New,1,0,0,"214,708",Corrections Required,4223 26TH AVE W,SEATTLE,98199
Commercial,New,,,,"6,916,856",Reviews In Process,9201 DELRIDGE WAY SW,,
Single Family/Duplex,Addition/Alteration,,,,"209,584",Reviews In Process,11180 BEACON AVE S,SEATTLE,98178
Multifamily,New,0,0,146,"41,364,537",Reviews In Process,2550 32ND AVE W,SEATTLE,98199
Commercial,Addition/Alteration,,,,"100,000",Reviews In Process,1441 N 34TH ST,SEATTLE,98103
Multifamily,,0,0,42,"1,474,903",Awaiting Information,4746 20TH AVE NE,SEATTLE,98105
Multifamily,Addition/Alteration,,,,"2,500,000",Reviews In Process,2616 WESTERN AVE,SEATTLE,98121
Single Family/Duplex,Addition/Alteration,,,,"70,000",Reviews In Process,5012 S FLETCHER ST,SEATTLE,98118
Single Family/Duplex,Demolition,1,1,2,"600,000",Issued,4201 51ST AVE NE,SEATTLE,98105
Single Family/Duplex,Addition/Alteration,1,0,0,"100,000",Awaiting Information,1923 WARREN AVE N,SEATTLE,98109
Multifamily,New,,,,"2,477,560",Reviews In Process,940 NW 54TH ST,SEATTLE,98107
Commercial,Addition/Alteration,0,0,0,"100,000",Corrections Required,5109 SHILSHOLE AVE NW,SEATTLE,98107
Single Family/Duplex,Demolition,2,2,5,"1,250,000",Issued,845 NW 54TH ST,SEATTLE,98107
Single Family/Duplex,,,,,0,Withdrawn,1019 NE 91ST ST,SEATTLE,98115
Commercial,Addition/Alteration,,,,"100,000",Reviews In Process,1000 N northlake WAY,,
Single Family/Duplex,Curb Cut,,,,200,Issued,8032 31ST AVE NW,SEATTLE,98117
Multifamily,New,,,,"4,328,822",Reviews In Process,1140 NW Market ST,,
Single Family/Duplex,Demolition,,,,"1,200,000",Awaiting Information,2043 NW 60TH ST,,
Commercial,Addition/Alteration,,,,"40,000",Corrections Required,1229 MADISON ST,SEATTLE,98104
Commercial,Addition/Alteration,0,0,0,"15,000",Issued,1402 3RD AVE,SEATTLE,98101
Single Family/Duplex,Addition/Alteration,1,0,2,"8,000",Corrections Required,2603 36TH AVE W,SEATTLE,98199
Commercial,Addition/Alteration,,,,"1,500,000",Reviews In Process,4724 Roosevelt WAY NE,,
Single Family/Duplex,New,,,,"312,382",Reviews In Process,3901 CHEASTY BLVD S,SEATTLE,98108
Institutional,Addition/Alteration,0,0,0,"355,000",Reviews In Process,5031 UNIVERSITY WAY NE,,
Single Family/Duplex,Addition/Alteration,1,0,0,"175,000",Issued,4107 BAGLEY AVE N,SEATTLE,98103
Single Family/Duplex,Demolition,,,,0,Issued,4730 19TH AVE NE,SEATTLE,98105
Commercial,Addition/Alteration,0,0,0,"100,000",Reviews In Process,1621 N 34TH ST,SEATTLE,98103
Single Family/Duplex,Demolition,2,1,2,"400,000",Issued,8558 18TH AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,1,0,1,"170,684",Reviews In Process,3902 NE 117TH ST,SEATTLE,98125
Industrial,Addition/Alteration,,,,"3,157,055",Application Completed,319 6th AVE N,,
Commercial,Demolition,,,,0,Issued,400 QUEEN ANNE AVE N,SEATTLE,98109
Commercial,Demolition,0,0,450,0,Corrections Required,900 RAINIER AVE S,SEATTLE,98144
Multifamily,Addition/Alteration,0,0,340,"2,500,000",Reviews In Process,1370 STEWART ST,SEATTLE,98109
Multifamily,New,,,,"4,012,260",Reviews In Process,3620 PHINNEY AVE N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,1,0,1,"250,000",Reviews In Process,7918 46TH AVE S,SEATTLE,98118
Single Family/Duplex,New,,,,"292,362",Reviews In Process,854 S CONCORD ST,SEATTLE,98108
Multifamily,New,1,1,60,"5,233,982",Reviews In Process,7705 15TH AVE NW,SEATTLE,98117
Single Family/Duplex,Demolition,1,1,6,"1,000,000",Ready for Issuance,5400 9TH AVE NW,SEATTLE,98107
Single Family/Duplex,Addition/Alteration,0,0,0,"225,000",Corrections Required,3808 48th AVE NE,,
Multifamily,Demolition,,,,"2,500,000",Application Completed,1305 E HOWELL ST,SEATTLE,98122
Single Family/Duplex,,1,1,1,"250,000",Issued,4808 S BRANDON ST,SEATTLE,98118
Institutional,Demolition,,,,"100,000",Reviews In Process,10631 8th AVE NE,,
Commercial,New,,,,"638,532",Application Completed,2364 FAIRVIEW AVE E,SEATTLE,98102
Multifamily,New,0,0,97,"600,000",Reviews In Process,2720 EASTLAKE AVE E,SEATTLE,98102
Single Family/Duplex,New,0,0,23,"57,116",Reviews In Process,6343 NE 65TH ST,SEATTLE,98115
Single Family/Duplex,New,,,,"533,510",Reviews In Process,1041 NE 100TH ST,SEATTLE,98125
Commercial,New,,,,"5,736,100",Reviews In Process,4417 WALLINGFORD AVE N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,1,0,1,"87,816",Reviews In Process,3239 62ND AVE SW,SEATTLE,98116
Multifamily,New,,,,"3,432,791",Reviews In Process,2621 eastlake AVE E,,
Multifamily,New,,,,"1,500,000",Reviews In Process,225 BROADWAY,SEATTLE,98104
Institutional,Addition/Alteration,,,,"200,000",Reviews In Process,4554 NE 41ST ST,SEATTLE,98105
Single Family/Duplex,New,,,,"236,597",Application Completed,2616 SW GENESEE ST,SEATTLE,98126
Single Family/Duplex,Addition/Alteration,1,0,0,"75,000",Issued,5732 17TH AVE NE,SEATTLE,98105
Single Family/Duplex,Addition/Alteration,1,0,0,"50,000",Reviews In Process,3615 60TH AVE SW,SEATTLE,98116
Single Family/Duplex,New,,,,"566,971",Corrections Required,6743 17TH AVE NW,SEATTLE,98117
Single Family/Duplex,New,,,,"600,000",Reviews In Process,3905 CHEASTY BLVD S,SEATTLE,98108
Single Family/Duplex,Addition/Alteration,0,0,0,"25,000",Reviews In Process,1635 INTERLAKEN PL E,SEATTLE,98112
Multifamily,New,,,,"31,368,394",Reviews In Process,5722 35TH AVE S,SEATTLE,98118
Multifamily,Demolition,0,0,104,"10,000",Corrections Required,4009 STONE WAY N,SEATTLE,98103
Commercial,New,,,,"29,104,178",Reviews In Process,570 MERCER ST,SEATTLE,98109
Multifamily,New,,,,"5,567,420",Reviews In Process,7012 ROOSEVELT WAY NE,,
Single Family/Duplex,Addition/Alteration,0,0,0,"200,000",Issued,8412 ISLAND DR S,SEATTLE,98118
Multifamily,New,6,6,60,"5,882,351",Reviews In Process,2210 EASTLAKE AVE E,SEATTLE,98102
Commercial,Demolition,1,1,60,"7,000,000",Reviews In Process,7705 15TH AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,,,,"38,000",Corrections Required,6338 50TH AVE SW,SEATTLE,98136
Single Family/Duplex,Addition/Alteration,1,0,1,"143,325",Corrections Required,9023 2ND AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,1,0,0,"19,000",Issued,4242 S JUNEAU ST,SEATTLE,98118
Single Family/Duplex,Addition/Alteration,,,,"217,049",Reviews In Process,1936 NE 135TH ST,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,,,,"1,400",Issued,3455 23RD AVE W,SEATTLE,98199
Institutional,Addition/Alteration,,,,"200,000",Reviews In Process,1618 E CALHOUN ST,SEATTLE,98112
Single Family/Duplex,Addition/Alteration,,,,"381,035",Reviews In Process,4005 SW 106TH ST,SEATTLE,98146
Single Family/Duplex,Demolition,0,0,2,"800,000",Issued,916 32ND AVE S,SEATTLE,98144
Commercial,New,,,,"17,253,372",Reviews In Process,214 5TH AVE S,SEATTLE,98104
Single Family/Duplex,Addition/Alteration,1,0,0,"246,810",Corrections Required,6837 21st AVE NE,,
Multifamily,Demolition,3,3,57,"5,602,031",Awaiting Information,7911 GREENWOOD AVE N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,1,0,0,"32,800",Reviews In Process,8005 22ND AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,,,,"65,000",Issued,735 BOYLSTON AVE E,SEATTLE,98102
Single Family/Duplex,Addition/Alteration,1,0,0,"100,000",Issued,8043 RAVENNA AVE NE,SEATTLE,98115
Commercial,Demolition,3,3,492,0,Reviews In Process,2222 15TH AVE W,SEATTLE,98119
Single Family/Duplex,New,,,,"41,994",Application Completed,2212 NE 125TH ST,SEATTLE,98125
Commercial,Addition/Alteration,,,,"70,000",Corrections Required,6517 RAVENNA AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,1,0,0,"50,000",Awaiting Information,7716 18TH AVE NE,,
Single Family/Duplex,Addition/Alteration,,,,"60,000",Issued,3904 NE 73RD ST,,
Multifamily,Addition/Alteration,,,,"30,000",Reviews In Process,2030 7TH AVE,SEATTLE,98121
Single Family/Duplex,Addition/Alteration,0,0,0,"10,000",Corrections Required,2128 5TH AVE W,SEATTLE,98119
Single Family/Duplex,Demolition,1,1,4,"300,000",Reviews In Process,2227 NW 63RD ST,SEATTLE,98107
Institutional,Addition/Alteration,,,,"20,000",Reviews In Process,8526 ROOSEVELT WAY NE,SEATTLE,98115
Multifamily,New,1,1,7,"681,713",Application Completed,7714 M L KING JR WAY S,SEATTLE,98118
Single Family/Duplex,Addition/Alteration,,,,"3,000",Issued,13315 3RD AVE NE,SEATTLE,98125
Multifamily,New,0,0,106,"10,104,070",Reviews In Process,3235 RAINIER AVE S,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,0,0,1,"172,092",Corrections Required,8708 1ST AVE NW,SEATTLE,98117
Commercial,Addition/Alteration,0,0,0,"89,774",Ready for Issuance,3116 NE 130TH ST,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,,,,"15,000",Issued,4916 26TH AVE S,SEATTLE,98108
Single Family/Duplex,Addition/Alteration,,,,"40,000",Issued,4738 2ND AVE NE,SEATTLE,98105
Single Family/Duplex,Addition/Alteration,,,,"145,487",Application Completed,9028 PHINNEY AVE N,SEATTLE,98103
Multifamily,Addition/Alteration,,,,"30,000",Reviews In Process,1301 SPRING ST,,
Single Family/Duplex,Addition/Alteration,,,,"142,237",Reviews In Process,2953 S GRAHAM ST,SEATTLE,98108
Single Family/Duplex,Addition/Alteration,,,,"13,000",Issued,8827 DIBBLE AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,,,,"154,757",Reviews In Process,7002 25TH AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"50,000",Reviews In Process,1032 36th AVE E,,
Single Family/Duplex,New,0,0,3,"788,861",Reviews In Process,10046 RAVENNA AVE NE,SEATTLE,98125
Single Family/Duplex,New,,,,"384,041",Application Completed,10348 Wallingford AVE N,SEATTLE,
Multifamily,New,0,0,450,"45,150,243",Reviews In Process,900 RAINIER AVE S,SEATTLE,98144
Single Family/Duplex,Demolition,1,1,0,"619,027.95",Issued,1518 19TH AVE,SEATTLE,98122
Single Family/Duplex,Addition/Alteration,1,0,0,"29,920",Reviews In Process,7712 CORLISS AVE N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"46,050",Issued,6224 40TH AVE NE,SEATTLE,98115
Commercial,Addition/Alteration,,,,"400,000",Reviews In Process,1409 NE 80TH ST,SEATTLE,98115
Single Family/Duplex,New,1,1,3,"507,645",Corrections Required,1011 NE 100TH ST,SEATTLE,98125
Commercial,Tenant Improvment,,,,"84,436",Issued,600 UNIVERSITY ST,SEATTLE,98101
Single Family/Duplex,Addition/Alteration,,,,"141,760",Reviews In Process,1120 LAKESIDE AVE S,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,1,0,0,"200,000",Reviews In Process,4010 SW GENESEE ST,SEATTLE,98116
Multifamily,New,,,,"4,950,000",Application Completed,1022 NE 68TH ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"50,000",Ready for Issuance,3441 NW 59TH ST,SEATTLE,98107
Single Family/Duplex,Addition/Alteration,1,0,0,"100,000",Corrections Required,3041 45TH AVE SW,SEATTLE,98116
Commercial,Addition/Alteration,,,,"250,000",Reviews In Process,4103 2ND AVE S,SEATTLE,98134
Single Family/Duplex,Addition/Alteration,0,0,0,"152,933",Reviews In Process,8752 DAYTON AVE N,SEATTLE,98103
Single Family/Duplex,,,,,"20,000",Issued,1710 E ALDER ST,SEATTLE,98122
Single Family/Duplex,New,1,1,2,"481,497",Reviews In Process,3016 E Howell ST,SEATTLE,
